APN,FORMATTED_ADDRESS,COMMUNITY,ABOVEGROUNDAREA,BELOWGROUNDAREA,PARCEL_AREA_SQFT,YEARBUILT,BATHROOMS,BEDROOMS,NUM_STORIES,FIREPLACES,CONSTRUCTIONTYPE,Assessed Value,Sale Price,Recommend Sale
3.30292E+12,2881 Irving Ave S #206,CALHOUN-ISLE,439,,6855,1916,1,1,1,0,Wood Frame,131000,125000,Not Sell
3.40292E+12,2112 Garfield Ave #5,POWDERHORN,441,,10684,1961,1,1,0,0,Wood Frame,89500,108640,Sell
2.70292E+12,500 Ridgewood Ave #201,CENTRAL,445,,11250,1966,1,1,1,0,Wood Frame,87500,114000,Sell
3.00292E+12,26 Arthur Ave #101,UNIVERSITY,450,,17043,1973,1,1,1,0,Wood Frame,93500,119000,Sell
1.50282E+12,4634 Nicollet Ave,SOUTHWEST,454,454,5588,1909,1,1,1,0,Wood Frame,130500,187000,Sell
7.02823E+11,4209 39TH Ave S,LONGFELLOW,456,84,5120,1911,1,1,1.7,0,Wood Frame,116500,156073,Sell
3.00292E+12,2600 University Ave SE #114,UNIVERSITY,458,,40920,2006,1,1,1,0,Wood Frame,124500,150000,Sell
1.02924E+11,3310 Taylor St,NORTHEAST,460,446,7500,1922,1,1,1,0,Wood Frame,154000,115000,Not Sell
7.02823E+11,4405 45TH Ave S,LONGFELLOW,460,,5040,1910,1,1,1.2,1,Wood Frame,161500,160000,Not Sell
9.02924E+11,3507 Morgan Ave N,CAMDEN,460,120,5127,1916,1,1,1,0,Wood Frame,59500,86330,Sell
8.02824E+11,4136 Queen Ave S #101,SOUTHWEST,462,,10270,1925,1,0,1,0,Wood Frame,154000,152500,Not Sell
3.40292E+12,2112 Garfield Ave #10,POWDERHORN,462,,10684,1961,1,1,1,0,Wood Frame,94000,114000,Sell
3.02824E+11,3308 Grand Ave S #3,POWDERHORN,464,,5502,1907,1,1,1,0,NA,111500,117000,Sell
2.02824E+11,3116 12TH Ave S #A209,POWDERHORN,467,,6955,1928,1,0,1,0,Brick & Mill,65500,102000,Sell
2.30292E+12,20 2ND St NE #P607,UNIVERSITY,470,,71491,1983,1,0,1,0,Concrete,116000,163900,Sell
2.30292E+12,15 1ST St S #A-214,CENTRAL,472,,166650,1965,1,0,1,0,Reinforced Concrete,92000,123400,Sell
2.30292E+12,15 1ST St S #A-216,CENTRAL,472,,166650,1965,1,0,1,0,Reinforced Concrete,96500,115000,Sell
2.30292E+12,15 1ST St S #A-907,CENTRAL,472,,166650,1965,1,0,1,0,Reinforced Concrete,98500,135000,Sell
2.30292E+12,15 1ST St S #A1007,CENTRAL,472,,166650,1965,1,0,1,0,Reinforced Concrete,99000,121250,Sell
2.30292E+12,15 1ST St S #A1013,CENTRAL,472,,166650,1965,1,0,1,0,Reinforced Concrete,98500,125000,Sell
2.30292E+12,15 1ST St S #A1207,CENTRAL,472,,166650,1965,1,0,1,0,Reinforced Concrete,101000,133000,Sell
2.30292E+12,15 1ST St S #A1213,CENTRAL,472,,166650,1965,1,0,1,0,Reinforced Concrete,121500,140575,Sell
2.70292E+12,440 Ridgewood Ave #1,CENTRAL,472,,10952,1963,1,1,1,0,Wood Frame,106500,120000,Sell
